id;localized_name;name;Carry;Initiator;Durable;Nuker;Support;Disabler;Pusher;Escape;Jungler
102;Abaddon;abaddon;1;0;2;0;2;0;0;0;0
108;Abyssal Underlord;abyssal_underlord;0;1;0;0;1;2;1;0;0
73;Alchemist;alchemist;2;1;2;1;1;1;0;0;0
68;Ancient Apparition;ancient_apparition;0;0;0;1;2;1;0;0;0
1;Anti-Mage;antimage;3;0;0;1;0;0;0;3;0
113;Arc Warden;npc_dota_hero_arc_warden;2;0;0;1;0;0;0;2;0
2;Axe;axe;0;3;3;0;0;2;0;0;2
3;Bane;bane;0;0;1;1;2;3;0;0;0
65;Batrider;batrider;0;3;0;0;0;2;0;1;2
38;Beastmaster;beastmaster;0;2;2;1;0;2;0;0;0
4;Bloodseeker;bloodseeker;1;1;0;1;0;1;0;0;1
62;Bounty Hunter;bounty_hunter;0;0;0;1;0;0;0;2;0
78;Brewmaster;brewmaster;2;2;2;0;0;0;0;1;0
99;Bristleback;bristleback;0;1;3;0;0;0;1;0;0
61;Broodmother;broodmother;1;0;0;0;0;0;0;3;1
96;Centaur Warrunner;centaur;0;1;3;0;0;0;2;0;0
81;Chaos Knight;chaos_knight;2;0;1;0;0;0;2;1;0
66;Chen;chen;0;0;0;0;3;0;0;2;0
56;Clinkz;clinkz;2;0;0;0;0;0;0;0;2
51;Clockwerk;rattletrap;0;1;1;0;0;0;0;0;0
5;Crystal Maiden;crystal_maiden;0;0;0;2;3;1;2;0;0
55;Dark Seer;dark_seer;0;1;0;1;0;0;0;0;1
50;Dazzle;dazzle;0;0;0;0;3;3;0;0;0
43;Death Prophet;death_prophet;0;0;1;1;0;0;0;2;0
87;Disruptor;disruptor;0;1;0;2;1;0;1;0;0
69;Doom;doom_bringer;2;0;2;1;0;0;0;0;0
49;Dragon Knight;dragon_knight;2;0;2;0;0;0;2;1;0
6;Drow Ranger;drow_ranger;2;0;0;0;0;0;0;0;0
107;Earth Spirit;earth_spirit;1;0;0;2;0;0;0;0;0
7;Earthshaker;earthshaker;0;3;0;0;1;1;2;0;0
103;Elder Titan;elder_titan;0;1;2;0;0;0;0;0;0
106;Ember Spirit;ember_spirit;1;0;0;2;0;0;0;0;0
58;Enchantress;enchantress;0;0;1;0;2;0;0;2;0
